image,band,method,inlier_residual,num_inliers,NMI,GCC,crop_size
DJI_20251107113326_0028,RE,Proposed,1.0915,3450,0.042958,0.173795,4327*3203
DJI_20251107113328_0029,G,Initial,NaN,5203,0.003864,0.022617,N/A
DJI_20251107113328_0029,G,Global,0.6118,2461,0.055682,0.212201,2354*2539
DJI_20251107113328_0029,G,Proposed,0.5977,5203,0.059563,0.230620,4320*3208
DJI_20251107113328_0029,R,Initial,NaN,2756,0.006475,0.031434,N/A
DJI_20251107113328_0029,R,Global,1.1609,1528,0.034471,0.170603,2354*2539
DJI_20251107113328_0029,R,Proposed,0.9693,2756,0.036211,0.184101,4320*3208
DJI_20251107113328_0029,NIR,Initial,NaN,3549,0.006809,0.031970,N/A
DJI_20251107113328_0029,NIR,Global,1.2696,1644,0.050978,0.153791,2354*2539
DJI_20251107113328_0029,NIR,Proposed,0.9512,3549,0.054933,0.171527,4320*3208
DJI_20251107113328_0029,RE,Initial,NaN,4048,0.003891,0.005246,N/A
DJI_20251107113328_0029,RE,Global,0.6193,1951,0.043465,0.184644,2354*2539
DJI_20251107113328_0029,RE,Proposed,0.8853,4048,0.047270,0.207880,4320*3208
DJI_20251107113330_0030,G,Initial,NaN,5329,0.004360,0.026410,N/A
DJI_20251107113330_0030,G,Global,1.0861,2298,0.062994,0.204053,4325*3128
DJI_20251107113330_0030,G,Proposed,0.6415,5329,0.070055,0.232729,4324*3221
DJI_20251107113330_0030,R,Initial,NaN,3672,0.009997,0.053672,N/A
DJI_20251107113330_0030,R,Global,0.9328,1817,0.048144,0.203425,4325*3128
DJI_20251107113330_0030,R,Proposed,0.9768,3672,0.050853,0.230595,4324*3221
DJI_20251107113330_0030,NIR,Initial,NaN,5030,0.007693,0.035429,N/A
DJI_20251107113330_0030,NIR,Global,1.0858,2324,0.065882,0.216257,4325*3128
DJI_20251107113330_0030,NIR,Proposed,0.6278,5030,0.070747,0.241477,4324*3221
DJI_20251107113330_0030,RE,Initial,NaN,4467,0.005579,0.010564,N/A
DJI_20251107113330_0030,RE,Global,0.6444,2173,0.056065,0.224205,4325*3128
DJI_20251107113330_0030,RE,Proposed,0.6863,4467,0.059058,0.243983,4324*3221
DJI_20251107113332_0031,G,Initial,NaN,3152,0.004495,0.026457,N/A
DJI_20251107113332_0031,G,Global,1.2657,1559,0.042800,0.154109,3955*3124
DJI_20251107113332_0031,G,Proposed,0.7769,3152,0.045279,0.168397,4333*3228
DJI_20251107113332_0031,R,Initial,NaN,2570,0.006019,0.034595,N/A
DJI_20251107113332_0031,R,Global,1.1124,1219,0.029587,0.136815,3955*3124
DJI_20251107113332_0031,R,Proposed,1.0204,2570,0.031498,0.148550,4333*3228
DJI_20251107113332_0031,NIR,Initial,NaN,3537,0.007756,0.036856,N/A
DJI_20251107113332_0031,NIR,Global,1.1099,1765,0.049695,0.163255,3955*3124
DJI_20251107113332_0031,NIR,Proposed,0.9383,3537,0.053509,0.177975,4333*3228
DJI_20251107113332_0031,RE,Initial,NaN,2931,0.004801,0.012200,N/A
DJI_20251107113332_0031,RE,Global,1.2406,1470,0.039638,0.140527,3955*3124
DJI_20251107113332_0031,RE,Proposed,1.0497,2931,0.042034,0.152121,4333*3228
DJI_20251107113338_0034,G,Initial,NaN,5374,0.003499,0.021665,N/A
DJI_20251107113338_0034,G,Global,0.8218,2484,0.061144,0.223261,3931*2232
DJI_20251107113338_0034,G,Proposed,0.5411,5374,0.066051,0.246900,4316*3218
DJI_20251107113338_0034,R,Initial,NaN,3250,0.006900,0.052129,N/A
DJI_20251107113338_0034,R,Global,1.0540,1653,0.037376,0.200955,3931*2232
DJI_20251107113338_0034,R,Proposed,1.0182,3250,0.038919,0.216692,4316*3218
DJI_20251107113338_0034,NIR,Initial,NaN,5199,0.005269,0.033313,N/A
DJI_20251107113338_0034,NIR,Global,0.9794,2313,0.061088,0.218373,3931*2232
DJI_20251107113338_0034,NIR,Proposed,0.6375,5199,0.067159,0.251203,4316*3218
DJI_20251107113338_0034,RE,Initial,NaN,3479,0.003729,0.015315,N/A
DJI_20251107113338_0034,RE,Global,1.0728,1492,0.044198,0.166456,3931*2232
DJI_20251107113338_0034,RE,Proposed,1.0780,3479,0.047122,0.185292,4316*3218
DJI_20251107113340_0035,G,Initial,NaN,3497,0.005028,0.023925,N/A
DJI_20251107113340_0035,G,Global,0.6219,1576,0.042836,0.165927,3845*3235
DJI_20251107113340_0035,G,Proposed,0.8721,3497,0.045867,0.183349,4320*3236
DJI_20251107113340_0035,R,Initial,NaN,1983,0.003844,0.023120,N/A
DJI_20251107113340_0035,R,Global,1.2203,1000,0.021883,0.120389,3845*3235
DJI_20251107113340_0035,R,Proposed,0.6187,1983,0.023029,0.131388,4320*3236
DJI_20251107113340_0035,NIR,Initial,NaN,2853,0.007578,0.035870,N/A
DJI_20251107113340_0035,NIR,Global,1.1143,1474,0.047274,0.156786,3845*3235
DJI_20251107113340_0035,NIR,Proposed,1.1561,2853,0.051012,0.171013,4320*3236
DJI_20251107113340_0035,RE,Initial,NaN,2320,0.003710,0.010301,N/A
DJI_20251107113340_0035,RE,Global,1.2334,1182,0.029222,0.131647,3845*3235
DJI_20251107113340_0035,RE,Proposed,0.9414,2320,0.030574,0.141331,4320*3236
DJI_20251107113344_0037,G,Initial,NaN,3398,0.002479,0.009406,N/A
DJI_20251107113344_0037,G,Global,1.1580,1642,0.037981,0.139932,3647*3195
DJI_20251107113344_0037,G,Proposed,0.6683,3398,0.041096,0.156689,4310*3192
DJI_20251107113344_0037,R,Initial,NaN,1995,0.004430,0.031120,N/A
DJI_20251107113344_0037,R,Global,1.2113,1130,0.022237,0.125294,3647*3195
DJI_20251107113344_0037,R,Proposed,0.8567,1995,0.023173,0.134896,4310*3192
DJI_20251107113344_0037,NIR,Initial,NaN,2383,0.004435,0.013143,N/A
DJI_20251107113344_0037,NIR,Global,0.7088,1186,0.032164,0.112077,3647*3195
DJI_20251107113344_0037,NIR,Proposed,0.7172,2383,0.034480,0.125475,4310*3192
DJI_20251107113344_0037,RE,Initial,NaN,2035,0.002969,0.005321,N/A
DJI_20251107113344_0037,RE,Global,0.8205,1152,0.024431,0.124364,3647*3195
DJI_20251107113344_0037,RE,Proposed,0.9730,2035,0.025782,0.138694,4310*3192
DJI_20251107113346_0038,G,Initial,NaN,3607,0.003302,0.013280,N/A
